english,tamil,category,tamil_category
menstruation,மாதவிடாய்,Biology,உயிரியல்
mental retardation,மனவளர்ச்சி குன்றல்,Biology,உயிரியல்
meridional plane,நடுஅச்சுத்தளம்,Biology,உயிரியல்
meristem,ஆக்குத்திசு,Biology,உயிரியல்
meristem culture,ஆக்குத்திசு வளர்ப்பு,Biology,உயிரியல்
meristem tip culture,ஆக்குத்திசு நுனிவளர்ப்பு,Biology,உயிரியல்
meristematic cells,ஆக்குத்திசு உயிரணுக்கள்,Biology,உயிரியல்
meristematic tissues,ஆக்குத்திசுக்கள்,Biology,உயிரியல்
meroblastic clevage,நிறைவற்ற பிளவு,Biology,உயிரியல்
merogamy,இடையிணைவு,Biology,உயிரியல்
merolecithal egg,கருவுணவு குறைந்த முட்டை,Biology,உயிரியல்
meromere,இடை உயிரணு,Biology,உயிரியல்
merosporangium,உருளை ஸ்போரகம்,Biology,உயிரியல்
merozoites,பிளவை உயிரிகள்,Biology,உயிரியல்
mesearch xylem,மையநோக்குச் சாற்றுக்குழாய்,Biology,உயிரியல்
mesencephalon or mid brain,நடுமூளை,Biology,உயிரியல்
mesocardium,இடை இதயப்படலம்,Biology,உயிரியல்
mesocarp,கனி நடுத்தோல்,Biology,உயிரியல்
mesocotyl,வித்திலை மையத்துண்டு,Biology,உயிரியல்
mesoderm,நடுத்தோலடுக்கு,Biology,உயிரியல்
mesogamy,இடைவெளி இணைவு,Biology,உயிரியல்
mesogloea,இடைச்சவ்வு,Biology,உயிரியல்
mesophosphoryation,இடைநிலை பாஸ்பேட் ஏற்றம்,Biology,உயிரியல்
mesophyll,இலை நடுத்திசு,Biology,உயிரியல்
mesophyll cell,இலையிடை உயிரணுக்கள்,Biology,உயிரியல்
mesophyll protoplasts,இலையிடை புரோடோபிளாஸ்ட்,Biology,உயிரியல்
mesophyll tissue,இலையிடைத்திசு,Biology,உயிரியல்
mesophytes,இடைநிலைத் தாவரங்கள்,Biology,உயிரியல்
mesothorax,நடுமார்பு,Biology,உயிரியல்
messenger RNA (mRNA),தூது RNA,Biology,உயிரியல்
mesta fibre,புளிச்சநார்,Biology,உயிரியல்
metabolic activities,வளர்சிதைமாற்ற வினைகள்,Biology,உயிரியல்
metabolic cycles,வளர்சிதைமாற்றச் சுழற்சி,Biology,உயிரியல்
metabolic disorders,வளர்சிதைமாற்றச் சீர்கேடுகள்,Biology,உயிரியல்
metabolic engineering,வளர்சிதைமாற்றப் பொறியியல்,Biology,உயிரியல்
metabolic rate,வளர்சிதைமாற்ற விகிதம்,Biology,உயிரியல்
metabolic regulation,வளர்சிதைமாற்றச் சீராக்கம்,Biology,உயிரியல்
metabolism,வளர்சிதைமாற்றம்,Biology,உயிரியல்
metacarpus,உள்ளங்கை எலும்புகள்,Biology,உயிரியல்
metacentric chromosomes,மையநிலை மரபுத்திரி,Biology,உயிரியல்
metal compounds,உலோகச்சேர்மம்,Biology,உயிரியல்
metal-binding fingers,உலோக விரல்பிணைவு,Biology,உயிரியல்
metalloid,உலோகப்போலி,Biology,உயிரியல்
metamorphosis,வளர் உருமாற்றம்,Biology,உயிரியல்
metaphase,பகுப்புமையநிலை,Biology,உயிரியல்
metaphase plate,இரண்டாம் நிலைத்தட்டு,Biology,உயிரியல்
metaphloem,முதுப்பட்டயக்குழாய்,Biology,உயிரியல்
metastatic tumours,பரவும் புற்றுகள்,Biology,உயிரியல்
metaxylem,பின்தோன்றிய சாற்றுக்குழாய்,Biology,உயிரியல்
methanogens,மீதேன் ஆக்கிகள்,Biology,உயிரியல்
methyl alcohol,மீதைல் எரிசாராயம்,Biology,உயிரியல்
methyl group,மெத்தில் குழு,Biology,உயிரியல்
methyl group transfer,மெத்தில் குழு மாற்றல்,Biology,உயிரியல்
metralgia,கருப்பைவலி,Biology,உயிரியல்
metrication,மெட்ரிக் அளவாக்கல்,Biology,உயிரியல்
micraner,சிறு ஆணெறும்பு,Biology,உயிரியல்
micro arrays,நுண்ணுயிரி அணிகள்,Biology,உயிரியல்
micro biota,வட்டார நுண்ணுயிரிகள்,Biology,உயிரியல்
micro tubules,நுண்குழல்கள்,Biology,உயிரியல்
microbial community,நுண்ணுயிர்க் குழுமல்,Biology,உயிரியல்
microbial ecology,நுண்ணுயிரிச் சூழ்நிலையியல்,Biology,உயிரியல்
microbial infection,நுண்ணுயிரித் தொற்று,Biology,உயிரியல்
microbial succession,நுண்ணுயிரித் தொடர்வளர்ச்சி,Biology,உயிரியல்
microbial-higher plant association,நுண்ணுயிரி உயர்தாவரத் தொடர்பு,Biology,உயிரியல்
microbiology,நுண்ணுயிரியல்,Biology,உயிரியல்
microbodies,நுண்ணுடல்,Biology,உயிரியல்
microconidia,குறுவளர் சிதலகம்,Biology,உயிரியல்
microculture,நுண்ணுயிர் வளர்ப்பு,Biology,உயிரியல்
microcyst,நுண்கட்டி,Biology,உயிரியல்
microenvironment,நுண்சூழ்நிலை,Biology,உயிரியல்
microfibrils,நுண் இழைகள்,Biology,உயிரியல்
microfilaments,நுண் கசையிழைகள்,Biology,உயிரியல்
microgamete,குறு பால்உயிரணு,Biology,உயிரியல்
microgravity,நுண்ணீர்ப்பு விசை,Biology,உயிரியல்
microhabitat,நுண்வாழிடம்,Biology,உயிரியல்
microinjection,நுண் உட்செலுத்துதல்,Biology,உயிரியல்
microinjection of DNA,DNA வை உட்செலுத்துதல்,Biology,உயிரியல்
microlesion,"நுண்காயம், நுண்கிழிவு",Biology,உயிரியல்
micromutation,மரபணு நுண் சடுதிமாற்றம்,Biology,உயிரியல்
micronutrients,நுண்ணளவு ஊட்டங்கள்,Biology,உயிரியல்
microorganisms,நுண்ணுயிரிகள்,Biology,உயிரியல்
microphagous,நுண்ணுயிர் உண்ணும்,Biology,உயிரியல்
microphyllous,நுண்ணிலை உடைய,Biology,உயிரியல்
micropipettes,நுண்ணுறிஞ்சிகள்,Biology,உயிரியல்
microprocessor,நுண்செயலி,Biology,உயிரியல்
microprojectile,நுண்எறிபொருள்,Biology,உயிரியல்
micropropagation,நுண்ணினப்பெருக்கம்,Biology,உயிரியல்
micropyle,சூல்துளை,Biology,உயிரியல்
microscope,நுண்ணோக்கி,Biology,உயிரியல்
microscopy,நுண்ணோக்கியல்,Biology,உயிரியல்
microsomal vesicles,உயிரணுச்சிதைவு பைகள்,Biology,உயிரியல்
microsporangia,சிறுசிதலகங்கள்,Biology,உயிரியல்
microsporangium,சிறுசிதலகம்,Biology,உயிரியல்
microspore mother cell,சிறுசிதல் தாய்ச்செல்கள்,Biology,உயிரியல்
microspore tetrad,சிறுசிதல் நாற்செல் குழு,Biology,உயிரியல்
microspores,சிறுசிதல்கள்,Biology,உயிரியல்
microsporogenesis,சிறுசிதலாக்கம்,Biology,உயிரியல்
microsporophylls,சிறுசிதலக இலைகள்,Biology,உயிரியல்
microstructure of cell wall,உயிரணு சுவரின் நுண்ணமைப்பு,Biology,உயிரியல்
microtome,நுண்வெட்டுக்கருவி,Biology,உயிரியல்
microtubule organizing centers,நுண்உயிரணு அமைப்பு மையங்கள்,Biology,உயிரியல்
microtubules,நுண்குழல்கள்,Biology,உயிரியல்
microvilli,நுண்குடலுறிஞ்சிகள்,Biology,உயிரியல்
microwave procedure,நுண்ணலை செயல்முறை,Biology,உயிரியல்
microwaves,நுண்ணலைகள்,Biology,உயிரியல்
middle (moderately) repetitive DNA,மத்திய மீள்தொடர் DNA,Biology,உயிரியல்
middle gene,மைய மரபணு,Biology,உயிரியல்
middle lamella,மைய அடுக்கு,Biology,உயிரியல்
midgut,நடுக்குடல்,Biology,உயிரியல்
midrib,இலை மையநரம்பு,Biology,உயிரியல்
migraine,ஒற்றைத்தலைவலி,Biology,உயிரியல்
migration,வலசைபோதல்,Biology,உயிரியல்
migration of birds,பறவைகள் வலசைபோதல்,Biology,உயிரியல்
migratory,வலசைபோகும்,Biology,உயிரியல்
migratory birds,வலசைபோகும் பறவைகள்,Biology,உயிரியல்
mild water stress,இலகு நீர்த்தகைவு,Biology,உயிரியல்
mildew-resistant mutants,பூஞ்சை எதிர்ப்பு சடுதிமாற்றிகள்,Biology,உயிரியல்
milk intolerance,பால் ஒவ்வாமை,Biology,உயிரியல்
milk production,பால் உற்பத்தி,Biology,உயிரியல்
milkweed,எருக்கு,Biology,உயிரியல்
millet,தினை,Biology,உயிரியல்
mine timbers,"சுரங்கத்திட்டுகள், சுரங்கக்கட்டைகள்",Biology,உயிரியல்
mine wastes,சுரங்கக்கழிவுகள்,Biology,உயிரியல்
mineral deficiency,கனிமக்குறைபாடு,Biology,உயிரியல்
mineral salts,கனிம உப்புகள்,Biology,உயிரியல்
mineral-deficiency diseases,கனிம உப்புக்குறைவு நோய்,Biology,உயிரியல்
mineralization,கனிமங்களாதல்,Biology,உயிரியல்
minerals,கனிமங்கள்,Biology,உயிரியல்
mineral-toxicity diseases,கனிம நச்சு நோய்கள்,Biology,உயிரியல்
minigel assembly minimal bacterial con,நுண் மென்திண்மத் தொகுப்பு சிறுமப்பாக்டீரியாச் செறிவு,Biology,உயிரியல்
minimal inhibitory concentration,சிறுமத்தடுப்புச் செறிவு,Biology,உயிரியல்
minimal medium,சிறுமஊடகம்,Biology,உயிரியல்
minimum viable population (mvp),வாழத்தகும் சிறும உயிர்த்தொகை,Biology,உயிரியல்
mining as source of water pollution,சுரங்கவழி நீர் மாசுபடுதல்,Biology,உயிரியல்
minor cereals,சிறுபயன் தானியங்கள்,Biology,உயிரியல்
minor grooves,சிறுபள்ளங்கள்,Biology,உயிரியல்
minor leaf vein,இலைக் குறுநரம்பு,Biology,உயிரியல்
mint,புதினா,Biology,உயிரியல்
mint rust,புதினா துருநோய்,Biology,உயிரியல்
miocene,"புத்துயிரூழியின் மூன்றாம் காலம், மயோசீன் காலம்",Biology,உயிரியல்
miscarriage,குறைப்பிரசவம்,Biology,உயிரியல்
mismatch,பொருந்தா இணைவு,Biology,உயிரியல்
missense suppressor,தவறான ஒடுக்குதல்,Biology,உயிரியல்
mistletoe,வேரிலி ஒட்டுச்செடிகள்,Biology,உயிரியல்
mitochondria,உயிரணுஆற்றல் நுண்ணுறுப்பு,Biology,உயிரியல்
mitochondrial translation,மைட்டோகாண்டீரியா புரதமாக்கல்,Biology,உயிரியல்
mitochondrial membranes,மைட்டோகாண்டீரியா சவ்வுகள்,Biology,உயிரியல்
mitochondrial mutation,மைட்டோகாண்டீரியா சடுதிமாற்றம்,Biology,உயிரியல்
mitochondrial transcription,மைட்டோகாண்டீரியா நகலெடுத்தல்,Biology,உயிரியல்
mitosis,"குன்றாப்பகுப்பு, முழுப்பகுப்பு",Biology,உயிரியல்
mitotic activity,குன்றாப்பகுப்பின் செயல்பாடு,Biology,உயிரியல்
mitotic recombination,குன்றாப்பகுப்பின் மறுசேர்க்கை,Biology,உயிரியல்
mitotic spindle,குன்றாப்பகுப்பின் கதிரிழைகள்,Biology,உயிரியல்
mixed culture,கலப்புயிர் வளர்ப்பு,Biology,உயிரியல்
mixed diet,கலப்புணவு,Biology,உயிரியல்
mixed inhibition,கலப்புத் தடுப்பான்கள்,Biology,உயிரியல்
mixed nerve,கலப்பு நரம்பு,Biology,உயிரியல்
mixed pollination,கலப்பு மகரந்தச்சேர்க்கை,Biology,உயிரியல்
mixed type,கலப்புவகை,Biology,உயிரியல்
mixed-function oxygenase,கலப்புவினை ஆக்சிஜினேஸ்,Biology,உயிரியல்
mobile genetic elements,தாவும் மரபுக்கூறுகள்,Biology,உயிரியல்
moderator,தணிப்பி,Biology,உயிரியல்
modification enzymes,மாற்றம்செய்யும் நொதிகள்,Biology,உயிரியல்
modular protein,மாற்றம்செய்த புரதம்,Biology,உயிரியல்
modulation,மாற்றம்செய்தல்,Biology,உயிரியல்
moist deciduous forest,இலையுதிர் ஈரக்காடு,Biology,உயிரியல்
molars,பின் கடைவாய்ப்பற்கள்,Biology,உயிரியல்
molds,பூசணங்கள்,Biology,உயிரியல்
molecular biology,மூலக்கூற்று உயிரியல்,Biology,உயிரியல்
molecular cloning,மூலக்கூற்றுப் படியாக்கம்,Biology,உயிரியல்
molecular evolution,மூலக்கூற்றுப் பரிணாமம்,Biology,உயிரியல்
molecular immunology,மூலக்கூற்றுத் தடுப்பாற்றல்,Biology,உயிரியல்
molecular mimicry,மூலக்கூற்று ஒப்புப்போலி,Biology,உயிரியல்
molecular models,மூலக்கூற்றுப் படிமங்கள்,Biology,உயிரியல்
molecular motor,மூலக்கூற்று இயக்கம்,Biology,உயிரியல்
molecular oxygen,மூலக்கூற்று ஆக்சிஜன்,Biology,உயிரியல்
molecular pathology,மூலக்கூற்று நோய்க்குறியியல்,Biology,உயிரியல்
molecular scissors,மூலக்கூற்று கத்தரிக்கோல்,Biology,உயிரியல்
molecular toxicology,மூலக்கூற்று நச்சியல்,Biology,உயிரியல்
molecular weight,மூலக்கூற்று எடை,Biology,உயிரியல்
mollusca,மெல்லுடலிகள்,Biology,உயிரியல்
monarch,ஒருமுனை,Biology,உயிரியல்
mongoloid,மங்கோலியவின,Biology,உயிரியல்
moniliasis,பூசணத்தொற்று,Biology,உயிரியல்
monoblast,ஒற்றைமரபணு,Biology,உயிரியல்
monocarpellary,ஒருசூலிலைகொண்ட,Biology,உயிரியல்
monocarpic perennials,ஒருமுறை பூத்தழிபவை,Biology,உயிரியல்
monocarpic species,ஒருமுறை கனியும் சிற்றினம்,Biology,உயிரியல்
monochasial,ஒருபக்கம்கிளைத்த,Biology,உயிரியல்
monochasial helicoid cyme,ஒருகிளைவளைந்த முடிவுறு மஞ்சரி,Biology,உயிரியல்
monochasial scorpioid cyme,ஒருகிளைமாற்று முடிவுறு மஞ்சரி,Biology,உயிரியல்
monochlamydeous,ஓரிதழ் வட்டமுள்ள,Biology,உயிரியல்
monoclonal antibodies,தனித்துப்பெருக்கும் எதிர்புரதங்கள்,Biology,உயிரியல்
monoclonal antibody,ஓரினநகல் எதிர்ப்பொருள்,Biology,உயிரியல்
monocots,ஒருவித்திலை,Biology,உயிரியல்
monocotyledons,ஒருவித்திலைத் தாவரங்கள்,Biology,உயிரியல்
monoculture,ஒற்றையினவளர்ப்பு,Biology,உயிரியல்
monodelphous,ஒருகற்றை மகரந்தத்தாள்கள்,Biology,உயிரியல்
monoecious,இருபாலிணைந்த,Biology,உயிரியல்
monoembryonate seed,ஒற்றைக்கரு விதை,Biology,உயிரியல்
monographs,தனிவரைநூல்கள்,Biology,உயிரியல்
monohybrid cross,ஒருபண்புக்கலப்பு,Biology,உயிரியல்
monohybrid ratio,ஒற்றைப்பண்புக் கலப்பு விகிதம்,Biology,உயிரியல்
monohybrids,ஒருபண்புக் கலப்பினங்கள்,Biology,உயிரியல்
monokaryotic,ஒற்றைஉட்கருகொண்ட,Biology,உயிரியல்
monolayer,ஒற்றையடுக்கு,Biology,உயிரியல்
monomers,"ஒற்றைத்துண்டுகள், ஒற்றைப்படிகள்",Biology,உயிரியல்
mononuclear,ஒற்றைஉட்கரு,Biology,உயிரியல்
mononuclear phagocytes,ஒற்றைஉட்கரு செல்விழுங்கிகள்,Biology,உயிரியல்
mononucleous,ஒற்றைஉட்கருவுடைய,Biology,உயிரியல்
monophosphorylation,ஒற்றைப் பாஸ்பேட் ஏற்றம்,Biology,உயிரியல்
monophyletic,ஒற்றை மரபுவரிசை,Biology,உயிரியல்
monoplanetic,தனித்து நீந்தும்,Biology,உயிரியல்
monoplanetism,தனித்து நீந்தும்நிலை,Biology,உயிரியல்
monoploids,ஒற்றைமய உயிரணுக்கள்,Biology,உயிரியல்
monoploidy,ஒற்றைமய நிலை,Biology,உயிரியல்
monopodial branching,ஒருபோக்குக் கிளைத்தல்,Biology,உயிரியல்
monosaccharides,ஒற்றைச்சர்க்கரை,Biology,உயிரியல்
monosporangium,ஒற்றைச் சிதலகம்,Biology,உயிரியல்
monospore,ஒற்றைச்சிதல்,Biology,உயிரியல்
monothecous,ஓரறையுடைய (ஆண் தாள்),Biology,உயிரியல்
monotrichous,ஒற்றைக்கசையிழையுடைய,Biology,உயிரியல்
moral status,அறநிலைத்தகுதி,Biology,உயிரியல்
morning sickness,மசக்கை,Biology,உயிரியல்
morphogenesis,"உருவாக்கம், உருவத்தோற்றவியல்",Biology,உயிரியல்
morphogenetic cells,உயிரணுக்கள் உருத்தோற்றம்,Biology,உயிரியல்
morphogenic potential,உருத்தோற்றத்திறல்,Biology,உயிரியல்
morphological alteration,புறத்தோற்ற மாறுபாடு,Biology,உயிரியல்
morphology,புறத்தோற்றவியல்,Biology,உயிரியல்
mosaic,நிறத்திட்டு,Biology,உயிரியல்
mosaic disease,பல்வண்ணநோய்,Biology,உயிரியல்
mosquito,கொசு,Biology,உயிரியல்
mosses,படர்பாசிச்செடி,Biology,உயிரியல்
motile,"நகரும், நீந்தும்",Biology,உயிரியல்
motion,இயக்கம்,Biology,உயிரியல்
motor end plate,இயங்கு கடைத்தட்டு,Biology,உயிரியல்
motor fibre,இயக்க இழை,Biology,உயிரியல்
motor neuron disease,இயக்க நரம்பணுநோய்,Biology,உயிரியல்
mouches volantes,பூச்சிப்பறத்தல்,Biology,உயிரியல்
mould,பூசணம்,Biology,உயிரியல்
moupt,உதிர்தல்,Biology,உயிரியல்
mouth to mouth breathing,வாய்வழி சுவாசம்,Biology,உயிரியல்
movements in plants,தாவர அசைவுகள்,Biology,உயிரியல்
moving-edge detectors,நகரும் நுனி காணிகள்,Biology,உயிரியல்
mowing,இயந்திரப் புல்வெட்டு,Biology,உயிரியல்
mucilage,சளிமம்,Biology,உயிரியல்
mucilage bristles,சளிம நீட்சிகள்,Biology,உயிரியல்
mucilage canal,சளிக்கால்வாய்,Biology,உயிரியல்
mucomycosis,காளான்நோய்,Biology,உயிரியல்
mucous membranes,சளிச்சவ்வுகள்,Biology,உயிரியல்
mucus,சளி,Biology,உயிரியல்
mulatto,வெண்கருப்பு கலப்பினம்,Biology,உயிரியல்
multicellular organism,பலஉயிரணு உயிரி,Biology,உயிரியல்
multidimensional species,பலபரிமாணச் சிற்றினங்கள்,Biology,உயிரியல்
multidimensional systems,பலபரிமாண அமைப்புகள்,Biology,உயிரியல்
multienzyme bodies,பலநொதி உறுப்புகள்,Biology,உயிரியல்
multienzyme complexes,பலநொதி தொகுப்புகள்,Biology,உயிரியல்
multiflorous,பன்மலருடைய,Biology,உயிரியல்
multifunctional enzyme,பலபணி நொதி,Biology,உயிரியல்
multigene disorder,பலமரபணு ஒழுங்கீனம்,Biology,உயிரியல்
multigene families,பலமரபணு குடும்பங்கள்,Biology,உயிரியல்
multigenic trait,பலமரபணு பண்பு,Biology,உயிரியல்
multilacular,பலசூல் அறைகள்,Biology,உயிரியல்
multilacunar node,பல்லிடை வெளிக்கணு,Biology,உயிரியல்
multilocunar,பல்லிடைவெளிகள்,Biology,உயிரியல்
multinucleated giant cells,பல உட்கரு அசுரசெல்,Biology,உயிரியல்
multiparous,பல்குழவி ஈனும்,Biology,உயிரியல்
multiphasic absorption,பல்நிலை உறிஞ்சுதல்,Biology,உயிரியல்
multiple allele,பல்கூட்டு இணைமரபணு,Biology,உயிரியல்
multiple clocks,பல்கூட்டுக் கடிகாரம்,Biology,உயிரியல்
multiple myeloma,பல்கூட்டுப் புற்று,Biology,உயிரியல்
multiple sclerosis,பல்கூட்டுக் கடினமாதல்,Biology,உயிரியல்
multiple-drug resistance,பல்கூட்டு மருந்து எதிர்ப்பு,Biology,உயிரியல்
multiplex loci,பல்கூட்டு மரபு நிலையிடம்,Biology,உயிரியல்
multiplication,பெருக்கம்,Biology,உயிரியல்
multiplication phase,பெருக்கநிலை,Biology,உயிரியல்
multiprotein complexes,கூட்டுப் புரதத்தொகுப்பு,Biology,உயிரியல்
multiseriate,பலசீர்வரிசை,Biology,உயிரியல்
multistate character,பலநிலைப்பான்மை,Biology,உயிரியல்
mumps,"பொன்னுக்கு வீங்கி, புட்டாலம்மை",Biology,உயிரியல்
munch,பல்லால் அரைத்தல்,Biology,உயிரியல்
municipal solid waste,நகரத் திடக்கழிவு,Biology,உயிரியல்
muscle cells,தசை உயிரணுக்கள்,Biology,உயிரியல்
muscle contraction,தசைச்சுருக்கம்,Biology,உயிரியல்
muscle fatigue,தசைத்தளர்ச்சி,Biology,உயிரியல்
muscle spindle,கதிர்த்தசை,Biology,உயிரியல்
muscular dystrophy,தசைப்பிடி,Biology,உயிரியல்
mushroom,காளான்,Biology,உயிரியல்
muster,மயில்கூட்டம்,Biology,உயிரியல்
musty,ஊசிப்போன,Biology,உயிரியல்
mutagenesis,சடுதிமாற்றத் தூண்டல்,Biology,உயிரியல்
mutagenic ability,சடுதிமரபணு மாற்றத்திறன்,Biology,உயிரியல்
mutagenic agents,சடுதிமாற்றக் காரணிகள்,Biology,உயிரியல்
mutagens,சடுதிமாற்றத் தூண்டிகள்,Biology,உயிரியல்
mutant callus,சடுதிமாற்ற வடிவற்ற திசு,Biology,உயிரியல்
mutants,சடுதிமாற்ற உயிரிகள்,Biology,உயிரியல்
mutation,சடுதிமாற்றம்,Biology,உயிரியல்
"mutation, nonsense",பயன்குறை சடுதிமாற்றம்,Biology,உயிரியல்
"mutation, pleiotropic",பலநிலை சடுதிமாற்றம்,Biology,உயிரியல்
mutation rate,சடுதிமாற்ற வேகம்,Biology,உயிரியல்
mutation somatic cell,உடற்செல் சடுதிமாற்ற மரபணு,Biology,உயிரியல்
mutral area,இதய உச்சிப்பகுதி,Biology,உயிரியல்
mutualism,பகிர்ந்துறவு வாழ்க்கை,Biology,உயிரியல்
myalgia,தசைவலி,Biology,உயிரியல்
mycelium,பூஞ்சையிழை,Biology,உயிரியல்
mycobacteria,பூஞ்சை பாக்டீரியா,Biology,உயிரியல்
mycobiont,பூஞ்சை உறுப்பினர்,Biology,உயிரியல்
mycology,பூஞ்சையியல்,Biology,உயிரியல்
mycorrhizae,வேர்ப்பூஞ்சை,Biology,உயிரியல்
mycorrhizal fungi,வேரகப் பூஞ்சை,Biology,உயிரியல்
mycota,பூஞ்சை உலகம்,Biology,உயிரியல்
myelin basic protein,மயலின் அடிப்படைப்புரதம்,Biology,உயிரியல்
myelin-associated glycoprotein,மயலின் தொடர்புடைய கிளைக்கோ புரதம்,Biology,உயிரியல்
myocardium,இதயத்தசை,Biology,உயிரியல்
myoclonic epilepsy,வலிப்பு,Biology,உயிரியல்
myofibrils,தசைநாரிழைகள்,Biology,உயிரியல்
myogenic,தசைத்திசு இயக்கம்,Biology,உயிரியல்
myoneutalgia,தசைவலி,Biology,உயிரியல்
myosin,தசைப்புரதம்,Biology,உயிரியல்
myrmecochory,எறும்பால் விதைபரவுதல்,Biology,உயிரியல்
myrmecophagous,எறும்புண்ணும்,Biology,உயிரியல்
myxedema,"சளியழற்சி, வீக்கம்",Biology,உயிரியல்
myymecology,எறும்பு அறிவியல்,Biology,உயிரியல்
na+-k+ transport,"சோடிய, பொட்டாசிய அயனிக்கடத்தல்",Biology,உயிரியல்
nannandrous,ஆணகக் குறுங்கிளை,Biology,உயிரியல்
nannocysts,உறையிலா புரோட்டோபிளாசம்,Biology,உயிரியல்
nape,பிடரி,Biology,உயிரியல்
naphthalene acetic acid,நாப்தலின் அசிட்டிக் அமிலம்,Biology,உயிரியல்
narcotic,போதைப்பொருள்,Biology,உயிரியல்
narrow spectrum antibiotic,குறுபரவல் நோயுயிர் முறி,Biology,உயிரியல்
narrow-sense heritability,குறுஉணர்வு பாரம்பரியம்,Biology,உயிரியல்
nasal,மூக்குசார்,Biology,உயிரியல்
nasal capsule,முகர்ச்சிப்பெட்டகம்,Biology,உயிரியல்
nasal cavities,நாசித்துளைகள்,Biology,உயிரியல்
nasology,மூக்கு அறிவியல்,Biology,உயிரியல்
nasopharynx,நாசித்தொண்டை,Biology,உயிரியல்
nastic movement,திசைச்சாரா இயக்கம்,Biology,உயிரியல்
national ambient air quality standards,தேசியச் சூழ்நிலைக் காற்றுத்தர செந்தரங்கள்,Biology,உயிரியல்
national biological survey(nbc),தேசிய உயிரியல் அளக்கை,Biology,உயிரியல்
national energy act (1977),தேசிய ஆற்றல் சட்டம் (1977),Biology,உயிரியல்
national energy policy act (1992),தேசிய ஆற்றல் கொள்கைச் சட்டம் (1992),Biology,உயிரியல்
national environmental education act,தேசியச்சூழல் கல்விச்சட்டம்,Biology,உயிரியல்
national environmental law centre,தேசியச்சூழல் சட்டமையம்,Biology,உயிரியல்
national environmental policy act,தேசியச்சூழல் கொள்கைச் சட்டம்,Biology,உயிரியல்
national forests,தேசியக்காடுகள்,Biology,உயிரியல்
national historic preservation act,தேசிய வரலாற்றுப் (சின்ன) பாதுகாப்புச் சட்டம்,Biology,உயிரியல்
national leprosy eradication programme,தேசிய தொழுநோய் ஒழிப்புத்திட்டம்,Biology,உயிரியல்
national malaria eradication programme,தேசிய மலேரியா ஒழிப்புத்திட்டம்,Biology,உயிரியல்
national marine sanctuary,தேசிய கடலுயிர்ப் புகலிடம்,Biology,உயிரியல்
national park service,தேசியப்பூங்கா சேவை,Biology,உயிரியல்
national parks,தேசியப்பூங்காக்கள்,Biology,உயிரியல்
national seed storage laboratory,தேசிய விதைச்சேமிப்பு ஆய்வகம்,Biology,உயிரியல்
natural barriers,இயற்கைத் தடையரண்கள்,Biology,உயிரியல்
natural convection,இயல் வெப்பச்சலனம்,Biology,உயிரியல்
natural environment,இயற்கைச்சூழல்,Biology,உயிரியல்
natural fertilizers,இயற்கை உரங்கள்,Biology,உயிரியல்
natural habitat preserves,இயற்கை வாழிடப்பாதுகாப்பு,Biology,உயிரியல்
natural hazard,இயற்கைப் பேரழிவு,Biology,உயிரியல்
natural immunity,இயற்கைத் தடுப்பாற்றல்,Biology,உயிரியல்
natural killer cells,இயற்கையாகக் கொல்லும் உயிரணுக்கள்,Biology,உயிரியல்
natural methods of flood control,வெள்ளக்கட்டுப்பாட்டு இயற்கை முறைகள்,Biology,உயிரியல்
natural mutations,இயற்கைச் சடுதிமாற்றங்கள்,Biology,உயிரியல்
natural resources,இயற்கை வளங்கள்,Biology,உயிரியல்
natural selection,இயற்கைத்தெரிவு,Biology,உயிரியல்
natural standing forests,இயற்கை நிலைக்காடுகள்,Biology,உயிரியல்
natural system,இயற்கை அமைப்பு,Biology,உயிரியல்
naturalistic fallacy,இயற்கையியல் ஏரணப்பிழை,Biology,உயிரியல்
nature conservancy,இயற்கைப்பாதுகாப்பு,Biology,உயிரியல்
naturopathy,இயற்கை மருத்துவம்,Biology,உயிரியல்
nausea,"குமட்டல், ஒவ்வாமை",Biology,உயிரியல்
navel,கொப்பூழ்,Biology,உயிரியல்
neck canal cell,கழுத்துக் கால்வாய் உயிரணு,Biology,உயிரியல்
neck canal nucleus,கழுத்துக் கால்வாய் உட்கரு,Biology,உயிரியல்
necrophagia,இறந்தஉடலைத் தின்னும்,Biology,உயிரியல்
necrosis,திசுஅழுகல்,Biology,உயிரியல்
necrotic spots,அழுகியபுள்ளிகள்,Biology,உயிரியல்
nectar,தேன்,Biology,உயிரியல்
nectar gland,தேன்சுரப்பி,Biology,உயிரியல்
neczidia,பிரிவுச்செல்கள்,Biology,உயிரியல்
negative control,எதிர்மறைக் கட்டுப்பாடு,Biology,உயிரியல்
negative curvatures,எதிர் வளைமைகள்,Biology,உயிரியல்
negative eugenics,எதிர்மறை மரபு (மரபியல்முறை),Biology,உயிரியல்
negative geotropism,புவிஈர்ப்பு எதிர்நாட்டம்,Biology,உயிரியல்
negative interference,எதிர்மறைக் குறுக்கீடு,Biology,உயிரியல்
negative phototropism,ஒளியெதிர் அசைவு,Biology,உயிரியல்
negative staining,எதிர்மறை (சாயமேற்றல்) இனக்கீற்றூட்டல்,Biology,உயிரியல்
negatively phototropic,எதிர் ஒளிநாட்டம்,Biology,உயிரியல்
nematode,உருளைப்புழுக்கள்,Biology,உயிரியல்
